temp,humidity,precip,windspeed
20.7,72.3,0,19.7
19.6,79,6.1,18.4
18.7,81.7,52,27.9
18.7,85,1.2,16.6
19.4,78.9,18,26
19.2,83.6,18,22.4
19.4,83.6,2,21.4
19.3,81.7,34,21
19.2,78.5,0,19.7
19.5,75.6,0,19.1
19,80.9,2,21.3
19.8,78.9,1,21.9
19.9,79.3,0,19.2
19.7,78.7,1,16.7
19.6,79.2,0,18.4
20.4,74.6,0,14.4
20.1,79.4,14,24.9
20.7,80,10,20.5
20.2,81,10,22.3
20.4,81.4,1,23.4
20.7,76.4,0,21.8
19.9,80.8,0,25.3
19.9,77.6,0,12.4
19,81.6,8,16.2
20,75.2,0.4,18.5
19.3,79.9,0,19.5
19.5,79.6,0.6,17.6
19.3,78.1,3,16.2
19.4,78,0,14.3
19.1,79.4,0,15
19.3,79.5,0,18.4
19.1,79.3,0,13.5
19.3,77.3,9,19.4
19.3,77.2,0,19.6
18.8,81.5,4,14.7
18.4,85.4,15,17.7
17.8,89,6,15.4
18.2,87,1,13.6
18.3,87.2,95,16.4
19.4,83.8,8,15.9
19.7,83,7,17.5
19.8,80.5,3,12.6
18.1,90.7,2,14.3
18.8,79.3,2,14.8
17.7,81.4,0,14.8
17.8,80,0,14.3
17.5,78.7,0,12.1
18.5,75.3,0,11.2
18.2,79.5,0,12.1
17.9,80.7,0,10.4
18.9,77.7,0,18.1
19.9,72.2,0.3,13.4
19,67.8,0,17.5
18.3,79.8,0,16.9
18.6,80.2,0,17.2
17.9,83.6,0,20.5
17.6,76.8,0,17.3
17.8,72.7,0,16.9
17.5,70.1,0,21.3
18.5,70,0,19.7
19.2,70.1,0,16.6
19.7,69.5,0,14
18.6,65.7,0,17.3
18.2,65.3,0,15.8
18.2,70.8,0,13.7
19.3,72.5,0,21.5
18.7,75.7,0,29.7
18.3,75.5,0,17.3
18.5,74.4,0,22.9
18.2,74.8,0,21.1
17.6,70.9,0,27
17.9,67,0,25.9
17.2,78.2,6,33.5
17.6,76.6,0,19.7
18.4,75.6,0,15.1
16.8,82.3,0,15.1
17.7,70.4,0,17.3
17.7,67.2,0,17.2
17.2,68.9,0,15
18,71.2,0,19.7
18.3,66.9,0,22.3
16.7,70.9,0,16.9
16.7,66.2,0,19.1
18,69.1,0,16.9
18.4,68,0,22.9
17.4,82.5,0,18.4
18.5,73.2,0,16.2
17.6,74.1,0,16.9
18,67.1,0,18.4
17.8,73.5,0,15.8
18.1,72,0,13.7
18.5,71.3,0,19.1
18.4,72.2,0,22.3
18.5,74.7,8,16.6
17.5,79.3,0,17.6
18.8,74.7,0,16.9
18.6,72.4,0,21.4
19.6,70.9,0,21.9
18.5,77.8,0,18.4
18.3,74.9,0,19.7
18.6,71.7,0,23.4
17.6,77.7,0,18.4
18.6,66.1,0,17.5
17.7,75,0,16.6
17.1,80.6,0,20.5
16.1,87.5,1,14.8
15.7,86.9,1,11.5
18.6,71.2,0,74.1
17.5,75.9,0,24.5
19.1,65.7,0,25.2
18.7,65.3,0,22.9
18.8,68.2,0,22.3
18.7,68.5,0,19.9
17.6,64.1,0,24.5
18,62.4,0,20.8
19.1,65,0,22.3
19,68.9,0,22.9
18.7,73.8,0,23.3
18.5,67.7,0,22.1
18.5,67.4,0,20.8
18.1,61.8,0,24.8
17.6,58.4,0,20.8
19.2,65.4,0,27.7
19.3,58.7,0,28.2
18.5,60.6,0,24.5
19,62.8,0,24.5
19,69.1,0,57.5
19.4,65.7,0,23.7
18.6,77,0.2,16.2
19.5,69.6,0,25.1
19.5,72,1,26.7
19.1,69.1,0,24
18.9,71.1,0,17.7
19.7,63.9,0,19.7
19.5,60.5,0,24.8
17.9,70.8,0,21.2
18.6,60,0,25.8
19.2,57.7,0,27.7
19.5,60.2,0,29.1
19.7,62.6,0,25.6
20.1,66.1,5,19.7
20,59.4,0,23
19.8,63,0,25.1
19.3,68.4,0,30
18.5,65.9,0,29.6
20.2,56.6,0,25.5
22,57.4,0,32.4
20.9,57.1,0,30.3
21.1,51.5,0,31.1
20.1,52.8,0,24.7
19.9,58.4,0,46.6
19.5,63.4,0,24
19.7,58.5,0,26.3
20.1,54.7,0,25.1
19.8,61.6,0,30
19.6,61.1,0,24.1
20.8,61.4,0,24.5
22.2,58.1,0,28.1
21.6,63.2,0,31.2
22.5,58.3,0,30.8
22.1,60.7,0,31.2
21.8,63.6,0,31.4
21.2,63.7,0,31.4
20.9,57.9,0,32.1
20.9,50.8,0,28.8
19.9,61.2,0,22.3
20.9,65.5,0,32.1
21.8,59.8,0,27.8
21.8,60.7,0,25.9
20.9,63.2,0,27.1
21,64.7,0,21
20.9,63.9,6,24.5
21.2,61,0,22.6
21.7,57.3,0,31.7
21.8,67.4,0.4,31.2
21.1,72.5,0.4,31.2
20.5,73.2,1,18.4
20.6,68.9,0,25.4
21.3,62.4,0,20.4
22.3,58.5,0,28.8
20.9,68.5,0,67.7
19.7,72.1,5,20.5
21.9,61.8,0,22.9
21.8,63.4,0,27
21.3,69.5,9,25.1
20.5,76.2,13,33.5
20.4,76.9,3,20.5
20.2,76.9,12,20.5
20.9,72.9,0,22.3
21.2,75.1,2,18.4
19.9,78.3,1,35.3
21.2,70.5,0,27.7
21.4,74.9,3,27.3
20.6,77.7,0.8,29.1
19.1,84,20,20
20.2,73.3,11,20
20.6,72,0,20.5
20.8,68.3,0,25.5
19.3,80.3,47,20.5
19,84.1,14,18.4
19.8,80.7,4,28.2
20.5,74.6,0,28.8
21,72.2,0,19.2
19.7,84.9,1,18.4
20.3,78.1,6,27.7
19.7,82.6,12,23.6
18.8,86.7,0,20.8
19.3,83.7,28,33.5
20.1,82.1,6,29.5
20.5,80.4,7,21
19.6,84,9,23.7
19.6,82,7,28.9
19.9,76.6,0,26.6
20.4,80.6,0,20.8
20.9,80.8,0,25.6
18.3,91.4,19,14
19.1,84.4,0,69.4
19.1,83.6,2,29.2
18.3,91.3,15,31.4
19.1,83.9,2,24.3
19.9,79.2,0,19.3
20.3,80.6,1,20.5
19.9,83.9,24,22.3
20,77.8,0,18.8
20.9,75.8,0,18.4
21.5,74.6,0,21.5
21.2,77.7,0,21.5
21.3,72.7,0,22.9
21.1,74.4,0,20.8
21,69.2,0,23.4
21.3,69.3,0,22.1
21.1,77.5,2,19.5
19.6,83.5,85,26.1
19.2,87,70,18.4
18.8,86.6,38,15.1
19.5,83.4,2,27.7
20,80.6,0,27.7
19.1,84.6,0,32.4
19.3,80.5,0,31.9
19.8,80,0,28.8
20.4,75.7,0,27.7
20.6,72.4,0,22.9
20,74.3,0,32.8
19.7,69.6,0,31.4
19,80.3,1,19.9
19.9,79.4,0,25
19.2,83.5,1,26.8
19.9,76.8,0,32.5
20,73.6,0,28.8
20.3,70.8,0,24.1
21.3,68.1,0,22.3
21.9,65.2,0,31.2
21.5,70.8,0,27.7
21.1,77,0,33.8
19.8,83.5,2,32.8
20,78.7,2,41
20.4,76.5,2,32.4
21.4,71.2,0,29.3
21.3,70.6,0,26.7
21.4,69.2,0,25.5
21.2,68.8,0,23.4
20.8,71.5,0,26.6
20.5,76.8,0,24.8
20.8,72.1,0,24.1
20.6,75.9,0,22.3
20.4,77.8,8,17.3
21.1,79.6,20,21.8
20.2,80.5,31,24.1
19.4,85.3,33,24.1
19.9,85,0,14
19.8,83.2,0.7,25.4
19.6,88.2,14.3,25.1
20.3,77,0,26.6
20.3,71.7,0,21.8
21.1,67.6,0,23.4
21.4,68.1,0,24.1
22.2,63.7,0,19.7
22.1,63.7,0,16.9
21,74.1,0,27.7
21.2,78.9,6,26.4
20.7,75.7,0,28.8
20.6,75.7,0,24.1
21.2,69.9,0,29.7
20.5,65.5,0,28.8
19.2,66.8,0,25.1
20.4,60.6,0,28.5
21.5,51.5,0,33.4
20.6,56.4,0,23.6
22.1,60.6,0,21.8
20.6,80.1,3.4,34.9
19.5,85.5,1.6,13.3
20.4,78.6,0.4,25
19.7,85.5,28.6,19.7
21,75.9,6,24
21.1,67.1,0,30.1
20.8,62.2,0,32.4
20.3,63.5,0,27.7
19.8,67.1,0,33.5
21.5,60.4,0,18.4
22.2,63.1,0,22.7
21.3,67.8,0,27.7
20.2,68.7,0,33.5
20.6,60.4,0,24.9
20.9,53.5,0,24.1
20.8,59.1,0,23.7
21.9,61,0,25.8
22.4,58.7,0,26.6
22.5,64.7,0,78
21.6,69.8,0,65.4
20.8,71.1,0,36.3
21.2,71.3,0,55.6
22.1,70.4,0,33.5
22.7,67.2,0,33.4
22.8,67.8,0,24.8
22.5,64.4,0,28
21.9,64.8,0,27.7
22.9,63.5,0,20.8
22.9,65.8,0,33.8
22.7,69.2,0,27.7
20.3,81.4,22,21.2
21.2,74.5,12,29.5
22.7,68.1,0,37.1
21.8,66.4,0,38.9
21.8,57.6,0,28.9
21.5,60.2,0,32.1
22.6,54.9,0,34.6
23.1,54,0,31.7
23.4,57.2,0,31.9
23.8,60.7,0,23.4
23.4,59.5,0,33.8
23.9,60.7,0,27.8
24,57,0,25.9
23.3,57.9,0,30.5
24.2,55.9,0,25.6
23.2,61.9,0,37.1
22.4,63.2,0,36
22.2,63,0,33.5
23.2,57.6,0,27.8
24.2,52.2,0,20.8
24.4,56.7,0,26
24.5,55.4,0,31.7
24.2,59.7,0,29.5
22.3,72.7,5,26.6
20.4,81.8,7,20.5
20.7,79.1,12,22.9
19.7,85.3,3,24
21.2,74.3,1,27.5
20.6,83.9,3.3,34.9
20.5,74.7,0,32.8
21.2,63.6,0,20.8
21.1,75.3,0,25.6
21.2,73.2,0,20.4
21,75.3,0,22.9
21.3,72.8,0,25.6
21.1,70.1,0,25.1
21.8,69.9,0,21.4
21.5,72.8,0,19.3
21.9,71.3,0,21
20.9,76.9,3,23.4
21.5,75.8,0,21.5
21.3,76.1,19,21.2
21,80.2,0,20.6
20.2,84.2,16,19
21.6,74.8,2,23.4
21.8,73,0,19.7
19.5,88.2,15,16.6
19.2,91.1,22,18.2
20.6,81,4,15.6
20.6,81.9,3,33.5
19.4,86,1.5,18.4
19.7,87.6,6,22.3
19.3,90.9,8,14.8
19,91.7,21,22.3
19.9,83.3,0,19.7
19.8,78.9,0,18.4
20.5,75.7,0,16.6
19.8,81.5,2,105.1
19.5,86.5,0.1,17.7
19.8,81.8,3,22.6
18.2,85.1,1,20.5
19.5,79.9,3,16.6
18.4,89.3,8,22.3
19,79.3,0.6,18.4
19.1,77.8,0,16.2
18.6,81.2,0,16.9
19.6,79.1,0,19.9
20,71.1,0,20
19.8,74.9,0,16.2
20.4,75.6,3,21.2
19.6,85.3,8.2,19.2
18.5,88.7,19.8,14.8
18.4,86.9,5,24.1
18.4,81.2,0,19.9
18.2,80.5,0,15.1
18.4,81.5,0,24.1
18.5,80.3,0,18.4
17.5,83.2,0,13
18.9,79.5,0,17.6
17.3,85.6,0,17.7
18.3,74.4,0,14.8
18.8,69.9,0,27.7
18.2,73.3,0,18.4
18.5,72.7,0,14.8
18.9,72.1,0,19.7
18.5,74.2,0,17.5
19.2,73.1,0,20
18.7,73.1,0,21
18.2,74.3,0,19.7
18.8,72,0,15.5
19.1,70.9,0,13.7
18.8,73.4,0,20.8
18,72.2,0,18.1
17.8,73.2,0,19.7
17.9,76.6,0,17.5
19,75.1,0,21.8
18.5,77.1,0,13.7
18.8,70.4,6,24.3
17.8,70.3,0,13
18,77.9,0,14.9
18.5,78.2,2,20.5
16.5,88,9,14.8
18.7,76.2,0,14.8
17.5,86.7,0.2,20.5
16.6,92.4,5,20.5
16.2,89,0,16.9
16.4,87.5,0,18.4
16.1,81.2,0,15.1
16.5,80.4,0,13.7
17.5,75.1,0,19.5
17.7,74,0,16.2
17.1,75.9,0,18.4
18.3,74.2,0,14.8
18.2,72.9,0,17
17.6,74.5,0,15.1
18.8,73.8,0,27.3
17.7,79.2,0,18.4
18.9,68,0,19.7
18,68.5,0,19.8
17.5,71.2,0,14.8
17.5,75.8,0,23.4
17.1,75.9,0,16.8
16.9,72.6,0,14
16.6,72.9,0,17.3
16.7,72.5,0,17.3
15.7,75,0,14.4
15.5,72.8,0,14.8
16.6,70.8,0,16
16.3,72.2,0,18.8
16.2,80,0,13
18.1,67.9,0,20.5
16.8,72.8,0,14.8
17.1,74.3,0,24
17.2,72.2,0,19.7
17.8,65.3,0,18.4
17.9,68,0,20.8
18,64.2,0,22.3
18.2,60,0,22.3
17.7,68.5,0,21.2
18.5,67,0,18.4
19.6,62.2,0,18.4
18.7,65.6,0,19.9
19,72,0,20.8
19.6,66.9,0,20.8
20,58.4,0,18.8
18.7,60.8,0,20.5
18.8,59.7,0,129.6
18.7,61.4,0,21
18.6,68.6,0,20
17.8,66.6,0,24.8
17,74.9,0,16.6
17.8,67.6,0,20.5
17.8,73.3,0,18.4
17.3,76.8,1,34.1
17.6,64.4,0,22.3
16.7,68.9,0,17.3
17.3,72.3,0,22.7
17.6,73.6,0,16.6
18.8,68.3,0,23.7
18.1,72.2,0,17
18.2,65.3,0,33.5
18.3,61.4,0,16.6
18.2,62.1,0,25.9
18.5,67.4,0,17.7
19,65.7,0,22.3
18.7,70.3,6,19.7
19.1,73.7,1,25.1
19.1,67.7,0,22.9
17.6,63.6,0,23.7
17.5,56.6,0,21.9
15.9,68.4,0,20.5
17.8,65.3,0,24.1
17.6,63.5,0,18.4
17.2,66.3,0,21
17,71.5,0,16.9
18.1,66.6,0,20.5
15.5,75.7,0,17.3
17.2,68.4,0,19.9
16.2,73.5,0,19.7
17.7,67.9,0,18.8
17.1,76.8,0,19.3
17.7,73.4,0,22.9
17.3,72.2,0,19.7
18.9,63.2,0,37.1
17.9,65.5,0,25.5
